:START_ID,:END_ID,:TYPE
Topic_Principle_Principle9,Disclosure_Q3_-5674105995697276285,contains
Disclosure_Q3_-5674105995697276285,Topic_Principle_Principle9,belongsToTopic
Topic_Principle_Principle9,Disclosure_Q4_2358137723503467206,contains
Disclosure_Q4_2358137723503467206,Topic_Principle_Principle9,belongsToTopic
Topic_Principle_Principle9,Disclosure_Q5_7184145804725927416,contains
Disclosure_Q5_7184145804725927416,Topic_Principle_Principle9,belongsToTopic
Topic_Principle_Principle9,Disclosure_Q1_248820420737716290,contains
Disclosure_Q1_248820420737716290,Topic_Principle_Principle9,belongsToTopic
Topic_Principle_Principle9,Disclosure_Q2_-6184972109569361964,contains
Disclosure_Q2_-6184972109569361964,Topic_Principle_Principle9,belongsToTopic
Topic_Principle_Principle9,Disclosure_Q3_-284835273638619066,contains
Disclosure_Q3_-284835273638619066,Topic_Principle_Principle9,belongsToTopic
Topic_Principle_Principle9,Disclosure_Q4_-1214561082357038127,contains
Disclosure_Q4_-1214561082357038127,Topic_Principle_Principle9,belongsToTopic
Topic_Principle_Principle9,Disclosure_Q5_5558853835956809098,contains
Disclosure_Q5_5558853835956809098,Topic_Principle_Principle9,belongsToTopic
Framework_ESRS_20E1_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_E1,contains
Topic_ESRS_E1,Framework_ESRS_20E1_20Delegated_act_2023_5303_annex_1_en_pdf,belongsToFramework
Framework_ESRS_20E1_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_E1,contains
Topic_ESRS_E1,Framework_ESRS_20E1_20Delegated_act_2023_5303_annex_1_en_pdf,belongsToFramework
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_E1_7_GHG_removals_and_GHG_mitigation_projects_financed_through_carbon_credi,contains
Disclosure_Disclosure_Requirement_E1_7_GHG_removals_and_GHG_mitigation_projects_financed_through_carbon_credi,Topic_ESRS_E1,belongsToTopic
Disclosure_Disclosure_Requirement_E1_7_GHG_removals_and_GHG_mitigation_projects_financed_through_carbon_credi,Requirement_-4031932083983167612,requires
Requirement_-4031932083983167612,Disclosure_Disclosure_Requirement_E1_7_GHG_removals_and_GHG_mitigation_projects_financed_through_carbon_credi,belongsToDisclosure
Disclosure_Disclosure_Requirement_E1_7_GHG_removals_and_GHG_mitigation_projects_financed_through_carbon_credi,Requirement_8200059544884301634,requires
Requirement_8200059544884301634,Disclosure_Disclosure_Requirement_E1_7_GHG_removals_and_GHG_mitigation_projects_financed_through_carbon_credi,belongsToDisclosure
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_E1_1_Transition_plan_for_climate_change_mitigation,contains
Disclosure_Disclosure_Requirement_E1_1_Transition_plan_for_climate_change_mitigation,Topic_ESRS_E1,belongsToTopic
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_related_to_ESRS_2_SBM_3_Material_impacts_risks_and_opportunities_and_their,contains
Disclosure_Disclosure_Requirement_related_to_ESRS_2_SBM_3_Material_impacts_risks_and_opportunities_and_their,Topic_ESRS_E1,belongsToTopic
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_E1_3_Actions_and_resources_in_relation_to_climate_change_policies,contains
Disclosure_Disclosure_Requirement_E1_3_Actions_and_resources_in_relation_to_climate_change_policies,Topic_ESRS_E1,belongsToTopic
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_E1_4_Targets_related_to_climate_change_mitigation_and_adaptation,contains
Disclosure_Disclosure_Requirement_E1_4_Targets_related_to_climate_change_mitigation_and_adaptation,Topic_ESRS_E1,belongsToTopic
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_E1_1_Transition_plan_for_climate_change_mitigation,contains
Disclosure_Disclosure_Requirement_E1_1_Transition_plan_for_climate_change_mitigation,Topic_ESRS_E1,belongsToTopic
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_related_to_ESRS_2_SBM_3_Material_impacts_risks_and_opportunities_and_their,contains
Disclosure_Disclosure_Requirement_related_to_ESRS_2_SBM_3_Material_impacts_risks_and_opportunities_and_their,Topic_ESRS_E1,belongsToTopic
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_related_to_ESRS_2_IRO_1_Description_of_the_processes_to_identify_and_assess_m,contains
Disclosure_Disclosure_Requirement_related_to_ESRS_2_IRO_1_Description_of_the_processes_to_identify_and_assess_m,Topic_ESRS_E1,belongsToTopic
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_E1_4_Targets_related_to_climate_change_mitigation_and_adaptation,contains
Disclosure_Disclosure_Requirement_E1_4_Targets_related_to_climate_change_mitigation_and_adaptation,Topic_ESRS_E1,belongsToTopic
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_E1_5_Energy_consumption_and_mix,contains
Disclosure_Disclosure_Requirement_E1_5_Energy_consumption_and_mix,Topic_ESRS_E1,belongsToTopic
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_E1_7_GHG_removals_and_GHG_mitigation_projects_financed_through_carbon_credi,contains
Disclosure_Disclosure_Requirement_E1_7_GHG_removals_and_GHG_mitigation_projects_financed_through_carbon_credi,Topic_ESRS_E1,belongsToTopic
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_E1_8_Internal_carbon_pricing,contains
Disclosure_Disclosure_Requirement_E1_8_Internal_carbon_pricing,Topic_ESRS_E1,belongsToTopic
Topic_ESRS_E1,Disclosure_Disclosure_Requirement_E1_9_Anticipated_financial_effects_from_material_physical_and_transition_ri,contains
Disclosure_Disclosure_Requirement_E1_9_Anticipated_financial_effects_from_material_physical_and_transition_ri,Topic_ESRS_E1,belongsToTopic
Framework_ESRS_20E5_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_E5,contains
Topic_ESRS_E5,Framework_ESRS_20E5_20Delegated_act_2023_5303_annex_1_en_pdf,belongsToFramework
Framework_ESRS_20E5_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_E5,contains
Topic_ESRS_E5,Framework_ESRS_20E5_20Delegated_act_2023_5303_annex_1_en_pdf,belongsToFramework
Topic_ESRS_E5,Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_resource_use_and_circular_econo,contains
Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_resource_use_and_circular_econo,Topic_ESRS_E5,belongsToTopic
Topic_ESRS_E5,Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_resource_use_and_circular_econo,contains
Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_resource_use_and_circular_econo,Topic_ESRS_E5,belongsToTopic
Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_resource_use_and_circular_econo,Requirement_5151990777804405535,requires
Requirement_5151990777804405535,Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_resource_use_and_circular_econo,belongsToDisclosure
Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_resource_use_and_circular_econo,Requirement_-3598530741048160119,requires
Requirement_-3598530741048160119,Disclosure_IRO_1_Description_of_the_processes_to_identify_and_assess_material_resource_use_and_circular_econo,belongsToDisclosure
Framework_ESRS_20E5_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_2,contains
Topic_ESRS_2,Framework_ESRS_20E5_20Delegated_act_2023_5303_annex_1_en_pdf,belongsToFramework
Topic_ESRS_2,Disclosure_Disclosure_Requirement_related_to_ESRS_2_IRO_1_Description_of_the_processes_to_identify_and_assess,contains
Disclosure_Disclosure_Requirement_related_to_ESRS_2_IRO_1_Description_of_the_processes_to_identify_and_assess,Topic_ESRS_2,belongsToTopic
Topic_ESRS_2,Disclosure_Disclosure_Requirement_E5_2_Actions_and_resources_related_to_resource_use_and_circular_economy,contains
Disclosure_Disclosure_Requirement_E5_2_Actions_and_resources_related_to_resource_use_and_circular_economy,Topic_ESRS_2,belongsToTopic
Topic_ESRS_2,Disclosure_Disclosure_Requirement_E5_3_Targets_related_to_resource_use_and_circular_economy,contains
Disclosure_Disclosure_Requirement_E5_3_Targets_related_to_resource_use_and_circular_economy,Topic_ESRS_2,belongsToTopic
Topic_ESRS_2,Disclosure_Disclosure_Requirement_E5_5_Resource_outflows,contains
Disclosure_Disclosure_Requirement_E5_5_Resource_outflows,Topic_ESRS_2,belongsToTopic
Framework_ESRS_20E5_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_2,contains
Topic_ESRS_2,Framework_ESRS_20E5_20Delegated_act_2023_5303_annex_1_en_pdf,belongsToFramework
Topic_ESRS_2,Disclosure_Disclosure_requirement_related_to_ESRS_2_IRO_1_Description_of_the_processes_to_identify_and_assess,contains
Disclosure_Disclosure_requirement_related_to_ESRS_2_IRO_1_Description_of_the_processes_to_identify_and_assess,Topic_ESRS_2,belongsToTopic
Topic_ESRS_2,Disclosure_Disclosure_Requirement_E5_1_Policies_related_to_resource_use_and_circular_economy,contains
Disclosure_Disclosure_Requirement_E5_1_Policies_related_to_resource_use_and_circular_economy,Topic_ESRS_2,belongsToTopic
Topic_ESRS_2,Disclosure_Disclosure_Requirement_E5_3_Targets_related_to_resource_use_and_circular_economy,contains
Disclosure_Disclosure_Requirement_E5_3_Targets_related_to_resource_use_and_circular_economy,Topic_ESRS_2,belongsToTopic
Framework_ESRS_20E4_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_E4,contains
Topic_ESRS_E4,Framework_ESRS_20E4_20Delegated_act_2023_5303_annex_1_en_pdf,belongsToFramework
Framework_ESRS_20E4_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_E4,contains
Topic_ESRS_E4,Framework_ESRS_20E4_20Delegated_act_2023_5303_annex_1_en_pdf,belongsToFramework
Topic_ESRS_E4,Disclosure_IRO_1_Description_of_processes_to_identify_and_assess_material_biodiversity_and_ecosystem_related_im,contains
Disclosure_IRO_1_Description_of_processes_to_identify_and_assess_material_biodiversity_and_ecosystem_related_im,Topic_ESRS_E4,belongsToTopic
Topic_ESRS_E4,Disclosure_Disclosure_Requirement_E4_3_Actions_and_resources_related_to_biodiversity_and_ecosystems_Metrics_a,contains
Disclosure_Disclosure_Requirement_E4_3_Actions_and_resources_related_to_biodiversity_and_ecosystems_Metrics_a,Topic_ESRS_E4,belongsToTopic
Topic_ESRS_E4,Disclosure_Disclosure_Requirement_E4_3_Actions_and_resources_related_to_biodiversity_and_ecosystems_Metrics_a,contains
Disclosure_Disclosure_Requirement_E4_3_Actions_and_resources_related_to_biodiversity_and_ecosystems_Metrics_a,Topic_ESRS_E4,belongsToTopic
Disclosure_Disclosure_Requirement_E4_3_Actions_and_resources_related_to_biodiversity_and_ecosystems_Metrics_a,Requirement_-3703243172037028012,requires
Requirement_-3703243172037028012,Disclosure_Disclosure_Requirement_E4_3_Actions_and_resources_related_to_biodiversity_and_ecosystems_Metrics_a,belongsToDisclosure
Framework_ESRS_20E4_20Delegated_act_2023_5303_annex_1_en_pdf,Topic_ESRS_2,contains
Topic_ESRS_2,Framework_ESRS_20E4_20Delegated_act_2023_5303_annex_1_en_pdf,belongsToFramework
Topic_ESRS_2,Disclosure_Disclosure_Requirement_E4_1_Transition_plan_and_consideration_of_biodiversity_and_ecosystems_in_st,contains
Disclosure_Disclosure_Requirement_E4_1_Transition_plan_and_consideration_of_biodiversity_and_ecosystems_in_st,Topic_ESRS_2,belongsToTopic
Topic_ESRS_2,Disclosure_Disclosure_Requirement_SBM_3_Material_impacts_risks_and_opportunities_and_their_interaction_with,contains
Disclosure_Disclosure_Requirement_SBM_3_Material_impacts_risks_and_opportunities_and_their_interaction_with,Topic_ESRS_2,belongsToTopic
Topic_ESRS_2,Disclosure_Disclosure_Requirement_related_to_ESRS_2_IRO_1_Description_of_processes_to_identify_and_assess_mater,contains
Disclosure_Disclosure_Requirement_related_to_ESRS_2_IRO_1_Description_of_processes_to_identify_and_assess_mater,Topic_ESRS_2,belongsToTopic
Topic_ESRS_2,Disclosure_Disclosure_Requirement_E4_2_Policies_related_to_biodiversity_and_ecosystems,contains
Disclosure_Disclosure_Requirement_E4_2_Policies_related_to_biodiversity_and_ecosystems,Topic_ESRS_2,belongsToTopic
Topic_ESRS_2,Disclosure_Disclosure_Requirement_E4_3_Actions_and_resources_related_to_biodiversity_and_ecosystems,contains
Disclosure_Disclosure_Requirement_E4_3_Actions_and_resources_related_to_biodiversity_and_ecosystems,Topic_ESRS_2,belongsToTopic
Topic_ESRS_2,Disclosure_Disclosure_Requirement_E4_4_Targets_related_to_biodiversity_and_ecosystems,contains
Disclosure_Disclosure_Requirement_E4_4_Targets_related_to_biodiversity_and_ecosystems,Topic_ESRS_2,belongsToTopic
Topic_ESRS_2,Disclosure_Disclosure_Requirement_E4_5_Impact_metrics_related_to_biodiversity_and_ecosystems_change,contains
