:START_ID,:END_ID,:TYPE
Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,Framework_GRI_407_Freedom_of_Association_and_Collective_Bargaining_2016_pdf,belongsToFramework
Framework_GRI_407_Freedom_of_Association_and_Collective_Bargaining_2016_pdf,Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,contains
Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,Framework_GRI_407_Freedom_of_Association_and_Collective_Bargaining_2016_pdf,belongsToFramework
Framework_GRI_407_Freedom_of_Association_and_Collective_Bargaining_2016_pdf,Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,contains
Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,Framework_GRI_407_Freedom_of_Association_and_Collective_Bargaining_2016_pdf,belongsToFramework
Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,Topic_1_Topic_management_disclosures_7,contains
Topic_1_Topic_management_disclosures_7,Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,belongsToTopic
Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,Topic_2_Topic_disclosures_8,contains
Topic_2_Topic_disclosures_8,Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,belongsToTopic
Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,Disclosure_Disclosure_407_1_Operations_and_suppliers_in_which,contains
Disclosure_Disclosure_407_1_Operations_and_suppliers_in_which,Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,belongsToTopic
Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,Topic_Disclosure_3_3_in_GRI_3_Material_Topics_2021_see,contains
Topic_Disclosure_3_3_in_GRI_3_Material_Topics_2021_see,Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,belongsToTopic
Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,Topic_1_Topic_management_disclosures,contains
Topic_1_Topic_management_disclosures,Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,belongsToTopic
Topic_1_Topic_management_disclosures,Requirement_0,requires
Requirement_0,Topic_1_Topic_management_disclosures,belongsToDisclosure
Topic_1_Topic_management_disclosures,Requirement_-3669490236652324510,requires
Requirement_-3669490236652324510,Topic_1_Topic_management_disclosures,belongsToDisclosure
Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,Topic_2_Topic_disclosures,contains
Topic_2_Topic_disclosures,Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,belongsToTopic
Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,Disclosure_Disclosure_407_1_Operations_and_suppliers_in_which,contains
Disclosure_Disclosure_407_1_Operations_and_suppliers_in_which,Topic_GRI_407_Freedom_of_Association_and_Collective_Bar,belongsToTopic
Disclosure_Disclosure_407_1_Operations_and_suppliers_in_which,Requirement_7348911073793035652,requires
Requirement_7348911073793035652,Disclosure_Disclosure_407_1_Operations_and_suppliers_in_which,belongsToDisclosure
Framework_GRI_204_Procurement_Practices_2016_pdf,Topic_GRI_204_Procurement_Practices_2016,contains
Topic_GRI_204_Procurement_Practices_2016,Framework_GRI_204_Procurement_Practices_2016_pdf,belongsToFramework
Framework_GRI_204_Procurement_Practices_2016_pdf,Topic_GRI_204_Procurement_Practices_2016,contains
Topic_GRI_204_Procurement_Practices_2016,Framework_GRI_204_Procurement_Practices_2016_pdf,belongsToFramework
Framework_GRI_204_Procurement_Practices_2016_pdf,Topic_GRI_204_Procurement_Practices_2016_3,contains
Topic_GRI_204_Procurement_Practices_2016_3,Framework_GRI_204_Procurement_Practices_2016_pdf,belongsToFramework
Topic_GRI_204_Procurement_Practices_2016_3,Topic_1_Topic_management_disclosures_7,contains
Topic_1_Topic_management_disclosures_7,Topic_GRI_204_Procurement_Practices_2016_3,belongsToTopic
Topic_GRI_204_Procurement_Practices_2016_3,Topic_2_Topic_disclosures_8,contains
Topic_2_Topic_disclosures_8,Topic_GRI_204_Procurement_Practices_2016_3,belongsToTopic
Topic_GRI_204_Procurement_Practices_2016_3,Disclosure_Disclosure_204_1_Proportion_of_spending_on_local_s,contains
Disclosure_Disclosure_204_1_Proportion_of_spending_on_local_s,Topic_GRI_204_Procurement_Practices_2016_3,belongsToTopic
Topic_GRI_204_Procurement_Practices_2016_3,Topic_Disclosure_3_3_in_GRI_3_Material_Topics_2021_see,contains
Topic_Disclosure_3_3_in_GRI_3_Material_Topics_2021_see,Topic_GRI_204_Procurement_Practices_2016_3,belongsToTopic
Topic_GRI_204_Procurement_Practices_2016_3,Topic_1_Topic_management_disclosures,contains
Topic_1_Topic_management_disclosures,Topic_GRI_204_Procurement_Practices_2016_3,belongsToTopic
Topic_1_Topic_management_disclosures,Requirement_9026991873384483303,requires
Requirement_9026991873384483303,Topic_1_Topic_management_disclosures,belongsToDisclosure
Topic_1_Topic_management_disclosures,Requirement_-1649974894235666970,requires
Requirement_-1649974894235666970,Topic_1_Topic_management_disclosures,belongsToDisclosure
Topic_GRI_204_Procurement_Practices_2016_3,Topic_2_Topic_disclosures,contains
Topic_2_Topic_disclosures,Topic_GRI_204_Procurement_Practices_2016_3,belongsToTopic
Topic_GRI_204_Procurement_Practices_2016_3,Disclosure_Disclosure_204_1_Proportion_of_spending_on_local_s,contains
